,Team Picks,,,
Captain,(1st) Arcαne,(2nd) TriHard Cappa,(3rd) HongFudge,(4th) J234
Top,RédSpéKtré,bigtankyman,Hong,JOHN TOBY
Jungle,Rαgnαr,CormacWasTaken,JerryTheGiraffe,J234
Mid,Arcane,ExOh,mibr Sung JinWoo,Bernpup
ADC,disco dakin,Benjovi,Epic Simeon,OBK99
Support,WaitedPear,Cappa,Bayfong,TheLemonEater
,,,,
Captain,(1st) Yoh,(2nd) EsperBoss,(3rd) Chad Goose,(4th) I Blank I
Top,Squavo,Esper,Évy,YeetingBeanz
Jungle,Prizum,The Hunt,Goose,lnsecure Mid
Mid,Yoh,Rowandus,Celestion,TGIndian
ADC,ChunkyLover,LateNightFilth,VexJ,Blank
Support,Witzel,Pix Loves Dix,BadSinceSeason2,SultanOfSuave
,,,,
Captain,(1st) PutBaconOnVegan,(2nd) bgscurtis,(3rd) Oriii,(4th) Rajhil
Top,Cormac,TURBOTILTEDFF15,GinGerJoe,vanishingpotato
Jungle,Conorg123,Tús úr,Wu Flu Carrier,c0rrupt3d
Mid,Guardıan,Ąsher,Hawkens,Rajhil
ADC,MuscleMemory,Hir3d,Oriii,0xim
Support,ChiliLime,Curtis,CrimsonCyclist,Sensei Stine
,,,,
Captain,(1st) Clinto,(2nd) Niallation,(3rd) DirtyPykey,(4th) Crep
Top,disco deluxe,Żëro Two,Funeral Witch,Crep
Jungle,Clint,iSlinyyy,TokkyWokky,ZeroGanksMid
Mid,Desuu Neeeee,PHL Nureha Fox,Sucker4Blood,IC LLstylish
ADC,Glube,Niallation,Postman Pat,Lúcás
Support,Tempestwindalt,mezy,Pykey,RiDeeM
